展示编号,选择排序,case_name,node_index,x,y,z,frequency_points,psd_relative_mae,psd_within25,relative_error_for_color
代表样本 1,1,case843_mises_full_export,5733,-113.3423843383789,-67.09803771972656,10.0,77,0.13384884874492903,0.7142857142857143,0.13384884874492903
代表样本 1,1,case843_mises_full_export,5745,-114.87606811523438,-64.43891906738281,10.0,77,0.14033629964468639,0.8051948051948052,0.14033629964468639
代表样本 1,1,case843_mises_full_export,5753,-113.142578125,-68.61567687988281,10.0,77,0.21545844972012684,0.7922077922077922,0.21545844972012684
代表样本 1,1,case843_mises_full_export,5890,-116.09048461914062,-63.5070686340332,10.0,77,0.1346813861171824,0.8051948051948052,0.1346813861171824
代表样本 1,1,case843_mises_full_export,5732,-113.31690216064452,-65.30825805664062,10.0,77,0.15499439219303138,0.7792207792207793,0.15499439219303138
代表样本 1,1,case843_mises_full_export,5754,-113.52239227294922,-70.65341186523438,10.0,77,0.424812852078444,0.4155844155844156,0.424812852078444
代表样本 1,1,case843_mises_full_export,5805,-118.19810485839844,-62.95839691162109,10.0,77,0.24916107091423753,0.6363636363636364,0.24916107091423753
代表样本 1,1,case843_mises_full_export,6856,1.5627143383026123,131.68206787109375,10.0,77,0.08100728597435283,0.974025974025974,0.08100728597435283
代表样本 1,1,case843_mises_full_export,6608,-1.5360273122787476,131.80545043945312,10.0,77,0.171312397004214,0.8441558441558441,0.171312397004214
代表样本 1,1,case843_mises_full_export,4660,114.96857452392578,-64.57122802734375,10.0,77,0.1262892890905254,0.8701298701298701,0.1262892890905254
代表样本 1,1,case843_mises_full_export,6601,-1.5242030620574951,131.72238159179688,5.0,77,0.10714672876494731,0.948051948051948,0.10714672876494731
代表样本 1,1,case843_mises_full_export,4459,113.47689819335938,-67.45719909667969,10.0,77,0.1560033634698091,0.8961038961038961,0.1560033634698091
代表样本 1,1,case843_mises_full_export,6866,1.569840669631958,131.73831176757812,5.0,77,0.09843817926253881,0.948051948051948,0.09843817926253881
代表样本 1,1,case843_mises_full_export,5735,-113.3423843383789,-67.09803771972656,9.25,77,0.1668334462220309,0.7792207792207793,0.1668334462220309
代表样本 1,1,case843_mises_full_export,6612,-0.0072445208206772,130.88108825683594,10.0,77,0.1451492706440728,0.8831168831168831,0.1451492706440728
代表样本 1,1,case843_mises_full_export,4497,113.15406036376952,-66.71798706054688,5.0,77,0.11686997237167769,0.948051948051948,0.11686997237167769
代表样本 1,1,case843_mises_full_export,6456,-2.9502408504486084,132.3912353515625,10.0,77,0.22595415852189837,0.6623376623376623,0.22595415852189837
代表样本 1,1,case843_mises_full_export,5741,-114.87606811523438,-64.43891906738281,9.25,77,0.2623902901722868,0.6103896103896104,0.2623902901722868
代表样本 1,1,case843_mises_full_export,3922,113.277099609375,-68.97483825683594,10.0,77,0.19119485116505813,0.7922077922077922,0.19119485116505813
代表样本 1,1,case843_mises_full_export,4658,113.35137939453124,-65.54698181152344,10.0,77,0.24787163291755435,0.6233766233766234,0.24787163291755435
代表样本 1,1,case843_mises_full_export,7200,2.976927757263184,132.26785278320312,10.0,77,0.06983721807187834,0.961038961038961,0.06983721807187834
代表样本 1,1,case843_mises_full_export,6438,-2.9384164810180664,132.30816650390625,5.0,77,0.13198143448007849,0.8051948051948052,0.13198143448007849
代表样本 1,1,case843_mises_full_export,7399,2.9840540885925293,132.3240966796875,5.0,77,0.106897239156019,0.961038961038961,0.106897239156019
代表样本 1,1,case843_mises_full_export,6604,0.0327145755290985,130.80294799804688,5.0,77,0.1228529610671103,0.8831168831168831,0.1228529610671103
代表样本 1,1,case843_mises_full_export,5935,-122.9814910888672,-69.42088317871094,10.0,77,0.1867979692307289,0.7922077922077922,0.1867979692307289
代表样本 1,1,case843_mises_full_export,4649,116.1829833984375,-63.63937377929688,10.0,77,0.1594439327063692,0.8051948051948052,0.1594439327063692
代表样本 1,1,case843_mises_full_export,3999,114.18334197998048,-64.38241577148438,5.0,77,0.13014038227190106,0.8831168831168831,0.13014038227190106
代表样本 1,1,case843_mises_full_export,5751,-113.142578125,-68.61567687988281,9.25,77,0.2263859286178629,0.6493506493506493,0.2263859286178629
代表样本 1,1,case843_mises_full_export,4375,112.95425415039062,-68.23562622070312,5.0,77,0.187844092869986,0.8181818181818182,0.187844092869986
代表样本 1,1,case843_mises_full_export,6613,-1.543271780014038,130.18655395507812,10.0,77,0.12361432123905072,0.948051948051948,0.12361432123905072
代表样本 1,1,case843_mises_full_export,4748,115.3977508544922,-63.4505615234375,5.0,77,0.13219164509338316,0.922077922077922,0.13219164509338316
代表样本 1,1,case843_mises_full_export,751,-3.072054624557495,131.1109161376953,10.0,77,0.07713235666663175,0.922077922077922,0.07713235666663175
代表样本 1,1,case843_mises_full_export,6858,1.5554698705673218,130.06317138671875,10.0,77,0.18335420593570967,0.8051948051948052,0.18335420593570967
代表样本 1,1,case843_mises_full_export,3887,112.07991027832033,-66.75418090820312,10.0,77,0.18784749784806212,0.7922077922077922,0.18784749784806212
代表样本 1,1,case843_mises_full_export,750,3.1254286766052246,130.86415100097656,10.0,77,0.1046962900171903,0.987012987012987,0.1046962900171903
代表样本 1,1,case843_mises_full_export,5739,-113.42481231689452,-68.22367858886719,6.287859916687012,77,0.1026934472021538,0.961038961038961,0.1026934472021538
代表样本 1,1,case843_mises_full_export,3889,113.57159423828124,-63.868202209472656,10.0,77,0.12460636101774993,0.935064935064935,0.12460636101774993
代表样本 1,1,case843_mises_full_export,5434,-122.19601440429688,-71.72923278808594,10.0,77,0.186846672790125,0.6753246753246753,0.186846672790125
