评估区域,评估维度,整体_within25_pct,整体_relative_mae_pct,top1_within25_pct,top1_relative_mae_pct,top5_within25_pct,top5_relative_mae_pct,top25_within25_pct,top25_relative_mae_pct
全零件,逐频 PSD,85.38%,17.11%,78.15%,16.91%,74.36%,19.53%,71.25%,22.47%
全零件,最终 RMises,90.10%,12.39%,95.67%,8.61%,94.75%,9.40%,89.47%,12.36%
耳片区域,逐频 PSD,68.28%,37.10%,80.84%,15.50%,77.34%,17.47%,73.06%,20.80%
耳片区域,最终 RMises,81.47%,20.15%,95.66%,8.74%,95.70%,8.69%,94.32%,9.65%
圆盘区域,逐频 PSD,90.61%,10.99%,74.08%,17.28%,71.84%,18.65%,77.36%,17.95%
圆盘区域,最终 RMises,92.75%,10.00%,94.38%,10.12%,92.12%,11.13%,85.25%,15.05%
